timestamp_us,accel_x_mg,accel_y_mg,accel_z_mg,gyro_x_mdps,gyro_y_mdps,gyro_z_mdps
19520788,1011.38,6.34,-65.76,-140.0,280.0,70.0
19529788,1011.01,5.98,-66.98,-140.0,280.0,0.0
19536789,1011.01,6.59,-67.1,-140.0,280.0,0.0
19545788,1011.75,6.22,-65.88,-140.0,210.0,0.0
19554789,1010.28,5.86,-66.61,-140.0,280.0,0.0
19561789,1010.4,6.22,-66.86,-140.0,280.0,0.0
19570788,1010.65,6.59,-66.61,-140.0,210.0,0.0
19577790,1009.92,6.22,-67.22,-210.0,280.0,0.0
19586789,1011.14,6.83,-66.61,-140.0,280.0,0.0
19595788,1011.26,6.34,-66.61,-140.0,210.0,0.0
19602790,1010.53,5.98,-66.98,-70.0,280.0,70.0
19611788,1010.89,6.34,-66.61,-70.0,210.0,70.0
19618789,1010.89,6.83,-66.49,-70.0,210.0,0.0
19627789,1011.5,6.34,-66.61,-70.0,280.0,-70.0
19636789,1010.65,6.59,-65.64,0.0,210.0,0.0
19643789,1011.62,6.95,-66.25,-140.0,280.0,0.0
19652789,1010.28,5.25,-67.22,-140.0,280.0,0.0
19661789,1011.14,6.47,-67.1,-70.0,210.0,0.0
19668789,1011.01,5.86,-67.71,-70.0,210.0,0.0
19677788,1011.01,7.08,-65.76,0.0,210.0,0.0
19684790,1010.89,6.47,-66.73,0.0,140.0,0.0
19693789,1010.53,6.47,-66.12,-70.0,210.0,0.0
19702789,1011.26,6.34,-67.47,-70.0,280.0,-70.0
19709789,1011.38,6.22,-67.47,-140.0,210.0,0.0
19718789,1010.53,5.49,-65.64,0.0,210.0,0.0
19725790,1010.65,7.08,-67.83,-70.0,140.0,0.0
19734789,1011.01,6.22,-67.1,-70.0,280.0,0.0
19743789,1011.01,6.22,-66.49,-70.0,210.0,0.0
19750790,1011.5,6.83,-67.22,0.0,280.0,70.0
19759789,1011.14,5.98,-65.39,0.0,280.0,70.0
19768788,1011.14,6.22,-66.73,-70.0,210.0,0.0
19775790,1011.01,6.34,-67.22,-140.0,280.0,0.0
19784788,1011.38,6.59,-66.86,-140.0,280.0,0.0
19791790,1011.01,6.59,-67.47,-70.0,210.0,70.0
19800789,1010.89,5.73,-66.98,-70.0,280.0,0.0
19809789,1011.38,6.1,-66.12,-70.0,210.0,0.0
19816789,1011.14,6.22,-66.61,0.0,280.0,0.0
19825789,1011.14,6.1,-67.1,-140.0,210.0,70.0
19834789,1011.5,6.1,-67.1,-140.0,280.0,0.0
19841790,1011.38,6.59,-66.73,-70.0,280.0,0.0
19850789,1011.38,6.1,-66.61,-70.0,210.0,0.0
19857789,1010.77,5.86,-67.47,-70.0,280.0,70.0
19866788,1010.89,6.22,-67.1,-70.0,210.0,0.0
19875789,1010.04,6.34,-67.22,-70.0,210.0,0.0
19882790,1010.89,6.1,-66.0,0.0,280.0,0.0
19891789,1011.14,5.61,-67.22,-140.0,210.0,0.0
19898790,1011.01,6.1,-66.61,-70.0,280.0,0.0
19907788,1010.89,6.22,-67.22,-140.0,210.0,0.0
19916789,1011.62,5.49,-67.47,-140.0,280.0,0.0
19923789,1010.89,6.47,-65.88,-70.0,350.0,0.0
19932789,1011.14,6.1,-66.73,0.0,280.0,0.0
19941789,1010.53,5.61,-66.61,-70.0,280.0,0.0
19948790,1011.75,6.47,-66.73,-70.0,210.0,0.0
19957788,1010.53,6.83,-67.22,-70.0,210.0,70.0
19964789,1010.16,6.47,-66.86,-70.0,280.0,0.0
19973789,1010.77,5.49,-67.1,-70.0,280.0,70.0
19982789,1011.26,6.1,-67.47,-70.0,280.0,0.0
19989789,1011.14,6.59,-66.37,-70.0,210.0,0.0
19998789,1011.14,6.59,-66.73,-70.0,280.0,0.0
20005789,1010.89,6.22,-66.98,-140.0,210.0,0.0
20014788,1011.5,5.98,-66.0,-70.0,280.0,0.0
20023789,1011.38,6.47,-65.88,-140.0,210.0,0.0
20030790,1010.53,6.83,-67.83,-70.0,210.0,0.0
20039788,1011.01,6.71,-67.22,-140.0,280.0,0.0
20048789,1010.4,6.34,-66.0,-140.0,280.0,0.0
20055790,1011.5,5.73,-67.59,-70.0,210.0,0.0
20064789,1010.89,6.34,-66.73,-70.0,280.0,0.0
20071789,1011.01,6.1,-65.76,-140.0,280.0,0.0
20080789,1011.01,6.34,-67.83,-140.0,280.0,0.0
20089789,1010.77,6.47,-67.22,-140.0,280.0,0.0
20096789,1010.77,6.1,-67.22,-70.0,210.0,0.0
20105789,1011.5,6.34,-67.1,-70.0,280.0,0.0
20112790,1011.01,6.34,-65.27,-70.0,280.0,0.0
20121789,1010.77,6.1,-67.22,-140.0,210.0,0.0
20130789,1011.01,5.98,-67.71,-140.0,280.0,70.0
20137789,1010.4,6.22,-66.12,-70.0,210.0,0.0
20146789,1011.01,6.1,-66.37,70.0,210.0,0.0
20155789,1011.01,6.59,-65.76,0.0,210.0,0.0
20162789,1010.89,5.73,-65.88,-70.0,280.0,0.0
20171789,1010.28,6.22,-66.37,-70.0,280.0,0.0
20178789,1010.89,6.1,-67.95,-140.0,280.0,70.0
20187789,1010.77,5.61,-66.12,-70.0,280.0,70.0
20196788,1010.53,6.47,-66.37,0.0,210.0,0.0
20203790,1010.65,6.1,-66.25,-70.0,280.0,0.0
20212788,1011.38,6.34,-66.12,-70.0,210.0,0.0
20221789,1011.62,5.25,-67.59,-140.0,280.0,0.0
20228789,1011.01,6.47,-66.37,0.0,210.0,0.0
20237788,1010.89,6.95,-66.86,-70.0,280.0,0.0
20244790,1011.26,6.47,-67.34,-70.0,280.0,0.0
20253789,1010.16,6.22,-66.61,-140.0,210.0,70.0
20262789,1010.77,6.47,-66.86,-140.0,210.0,0.0
20269790,1010.77,5.86,-66.86,-140.0,280.0,0.0
20278788,1010.04,5.73,-67.22,140.0,210.0,0.0
20285789,1010.65,6.59,-66.86,210.0,210.0,0.0
20294789,1011.26,7.56,-64.78,70.0,210.0,0.0
20303788,1011.26,6.71,-65.03,-70.0,280.0,0.0
20310790,1011.01,6.83,-67.59,-280.0,280.0,0.0
20319788,1011.01,5.98,-67.1,-280.0,350.0,0.0
20328788,1011.01,5.73,-67.59,-70.0,210.0,0.0
20335789,1011.14,5.61,-68.32,140.0,280.0,0.0
20344788,1010.89,6.83,-66.37,210.0,350.0,70.0
20351789,1012.11,6.34,-65.88,70.0,210.0,0.0
20360789,1011.01,6.83,-65.39,-210.0,350.0,0.0
20369788,1010.89,7.08,-66.12,-350.0,350.0,0.0
20376789,1010.53,5.98,-66.73,-420.0,280.0,0.0
20385789,1010.77,4.64,-66.49,-280.0,280.0,0.0
20392789,1010.77,5.25,-69.05,0.0,210.0,0.0
20401788,1010.28,6.1,-67.95,0.0,280.0,70.0
20410789,1011.14,6.59,-65.39,70.0,280.0,0.0
20417789,1011.01,3.78,-68.32,280.0,210.0,0.0
20426789,1011.87,7.69,-65.51,490.0,280.0,-70.0
20435788,1011.38,8.54,-64.29,70.0,70.0,0.0
20442789,1011.26,7.93,-66.61,-700.0,350.0,0.0
20451789,1010.53,5.0,-67.1,-700.0,280.0,0.0
20458789,1010.53,3.66,-69.66,-140.0,280.0,0.0
